COD_RIP,COD_REG,DEN_REG,Shape_Leng,Shape_Area,Parco_Circ,NUMPOINTS,saturazion,Priorita,Popolazion,Sat_Norm,popol_norm,parc_norma,colon_norm
1,1,Piemonte,1234644.01493000006,25391636805.50000000000,14582,287.000000000000000,51,0.216,4251351,0.147,0,0,1
1,2,Valle d'Aosta,311187.14991600002,3258608423.92999935150,4343,33.000000000000000,132,0.233,123130,0.518,0,0,0
1,3,Lombardia,1411360.47580999997,23862867853.29999923706,44305,515.000000000000000,86,0.688,9976509,0.307,1,1,1
2,4,Trentino-Alto Adige,800731.66191899998,13605964490.50000190735,35746,151.000000000000000,237,0.750,1077143,1.000,0,1,0
2,5,Veneto,1056503.58204000001,18351494741.09999847412,18639,470.000000000000000,40,0.193,4849553,0.096,0,0,1
2,6,Friuli-Venezia Giulia,659341.08325300005,7936833767.69999980927,3632,195.000000000000000,19,0.004,1194248,0.000,0,0,0
1,7,Liguria,821916.46855800005,5417714496.68999958038,3012,63.000000000000000,48,0.060,1507636,0.133,0,0,0
2,8,Emilia-Romagna,1176991.66837999993,22501817675.90000152588,15617,249.000000000000000,63,0.091,4437578,0.202,0,0,0
3,9,Toscana,1304649.60394999990,22985007078.50000000000,21247,189.000000000000000,112,0.192,3661981,0.427,0,0,0
3,10,Umbria,619404.57108300005,8463968722.17000007629,2113,41.000000000000000,52,0.068,856407,0.151,0,0,0
3,11,Marche,618848.32843600004,9344542629.09000015259,4031,52.000000000000000,78,0.122,1484298,0.271,0,0,0
3,12,Lazio,1056599.43999999994,17236487921.20000076294,24824,144.000000000000000,172,0.716,5720536,0.702,1,1,0
4,13,Abruzzo,613572.80152099999,10828888286.10000038147,2995,66.000000000000000,45,0.054,1272627,0.119,0,0,0
4,14,Molise,433630.82851000002,4459797834.27999973297,418,18.000000000000000,23,0.008,290636,0.018,0,0,0
4,15,Campania,890506.46453600004,13667847424.50000000000,6689,61.000000000000000,110,0.288,5609536,0.417,1,0,0
4,16,Puglia,1182953.11177999992,19541033601.09999847412,4701,82.000000000000000,57,0.078,3907683,0.174,0,0,0
4,17,Basilicata,613038.36270699999,10071594221.50000000000,726,9.000000000000000,81,0.128,537577,0.284,0,0,0
4,18,Calabria,847415.62434300000,15212651631.10000038147,2021,80.000000000000000,25,0.013,1846610,0.028,0,0,0
5,19,Sicilia,1344687.69115000009,25824319687.59999465942,6902,266.000000000000000,26,0.164,4814016,0.032,0,0,1
5,20,Sardegna,1449230.54456999991,24106296672.00000000000,2997,27.000000000000000,111,0.190,1578146,0.422,0,0,0
