"fid,DEN_REG","fid,DEN_GEN",fid,ID,CODE_18,Tipo Zona,DEN_REG,Shape_Area,PrioritaPriorita,AreaScoperte
"1","1","1",IT_1,"111","111",Sicilia,25824319687.6,1380.427,1151379.85360917
"2","2","2",IT_2,"111","111",Sicilia,25824319687.6,1380.427,355891.360721609
"4","3","4",IT_4,"111","111",Sicilia,25824319687.6,1380.427,580247.223258569
"14","4","14",IT_14,"111","111",Sicilia,25824319687.6,1380.427,510727.114257922
"18","5","18",IT_18,"111","111",Sicilia,25824319687.6,1380.427,1045361.46113276
"20","6","20",IT_20,"111","111",Sicilia,25824319687.6,1380.427,111136.344723739
"21","7","21",IT_21,"111","111",Sicilia,25824319687.6,1380.427,900398.814675492
"22","8","22",IT_22,"111","111",Sicilia,25824319687.6,1380.427,571544.470257348
"24","9","24",IT_24,"111","111",Sicilia,25824319687.6,1380.427,419549.188178127
"25","10","25",IT_25,"111","111",Sicilia,25824319687.6,1380.427,3261597.97329712
"27","11","27",IT_27,"111","111",Sicilia,25824319687.6,1380.427,2761977.1209028
"28","12","28",IT_28,"111","111",Sicilia,25824319687.6,1380.427,519432.539313083
"33","13","33",IT_33,"111","111",Sicilia,25824319687.6,1380.427,4.32621993784921e-06
"37","14","37",IT_37,"111","111",Sicilia,25824319687.6,1380.427,1213915.50422413
"38","15","38",IT_38,"111","111",Sicilia,25824319687.6,1380.427,1462935.9533628
"39","16","39",IT_39,"111","111",Sicilia,25824319687.6,1380.427,518746.863922113
"40","17","40",IT_40,"111","111",Sicilia,25824319687.6,1380.427,379049.605186217
"41","18","41",IT_41,"111","111",Sicilia,25824319687.6,1380.427,444176.967565625
"46","19","46",IT_46,"111","111",Sicilia,25824319687.6,1380.427,395088.82891885
"47","20","47",IT_47,"111","111",Sicilia,25824319687.6,1380.427,1051745.85747545
"48","21","48",IT_48,"111","111",Sicilia,25824319687.6,1380.427,535663.424922095
"49","22","49",IT_49,"111","111",Sicilia,25824319687.6,1380.427,1669001.85759023
"51","23","51",IT_51,"111","111",Sicilia,25824319687.6,1380.427,1173207.22526169
"52","24","52",IT_52,"111","111",Sicilia,25824319687.6,1380.427,963860.598585597
"54","25","54",IT_54,"111","111",Sicilia,25824319687.6,1380.427,995464.543162733
"55","26","55",IT_55,"111","111",Sicilia,25824319687.6,1380.427,853286.366985341
"57","27","57",IT_57,"111","111",Sicilia,25824319687.6,1380.427,590762.037770589
"58","28","58",IT_58,"111","111",Sicilia,25824319687.6,1380.427,526811.51440673
