"fid,DEN_REG",fid,ID,CODE_18,Tipo Zona,DEN_REG,Shape_Area,area
1,1,IT_1,"111",111,Sicilia,25824319687.6,1151379.85360414
2,2,IT_2,"111",111,Sicilia,25824319687.6,355891.360727927
3,3,IT_3,"111",111,Sicilia,25824319687.6,425327.438290746
4,4,IT_4,"111",111,Sicilia,25824319687.6,580247.223237513
5,5,IT_5,"111",111,Sicilia,25824319687.6,808109.020383907
6,6,IT_6,"111",111,Sicilia,25824319687.6,1800785.80942722
7,7,IT_7,"111",111,Sicilia,25824319687.6,427839.626386033
8,8,IT_8,"111",111,Sicilia,25824319687.6,2073889.74809922
9,9,IT_9,"111",111,Sicilia,25824319687.6,1578868.24425093
10,10,IT_10,"111",111,Sicilia,25824319687.6,1345539.72199172
11,11,IT_11,"111",111,Sicilia,25824319687.6,457900.169390038
12,12,IT_12,"111",111,Sicilia,25824319687.6,1580104.31517973
13,13,IT_13,"111",111,Sicilia,25824319687.6,1958568.67603463
14,14,IT_14,"111",111,Sicilia,25824319687.6,510727.114264761
15,15,IT_15,"111",111,Sicilia,25824319687.6,983043.367719999
16,16,IT_16,"111",111,Sicilia,25824319687.6,4309984.02560569
17,17,IT_17,"111",111,Sicilia,25824319687.6,1882685.06603445
18,18,IT_18,"111",111,Sicilia,25824319687.6,1764076.07507612
19,19,IT_19,"111",111,Sicilia,25824319687.6,3826235.53566974
20,20,IT_20,"111",111,Sicilia,25824319687.6,493713.872640846
21,21,IT_21,"111",111,Sicilia,25824319687.6,900398.81456621
22,22,IT_22,"111",111,Sicilia,25824319687.6,571544.470241066
23,23,IT_23,"111",111,Sicilia,25824319687.6,547876.384814627
24,24,IT_24,"111",111,Sicilia,25824319687.6,419549.188162251
25,25,IT_25,"111",111,Sicilia,25824319687.6,3261597.97322911
26,26,IT_26,"111",111,Sicilia,25824319687.6,459247.255443992
27,27,IT_27,"111",111,Sicilia,25824319687.6,2761977.12089801
28,28,IT_28,"111",111,Sicilia,25824319687.6,519432.539370711
29,29,IT_29,"111",111,Sicilia,25824319687.6,368880.303065608
30,30,IT_30,"111",111,Sicilia,25824319687.6,1274901.95500582
31,31,IT_31,"111",111,Sicilia,25824319687.6,578862.044382288
32,32,IT_32,"111",111,Sicilia,25824319687.6,270854.676322646
33,33,IT_33,"111",111,Sicilia,25824319687.6,3990951.18079061
34,34,IT_34,"111",111,Sicilia,25824319687.6,831351.026557489
35,35,IT_35,"111",111,Sicilia,25824319687.6,421784.275102456
36,36,IT_36,"111",111,Sicilia,25824319687.6,571067.053625868
37,37,IT_37,"111",111,Sicilia,25824319687.6,1213915.50412405
38,38,IT_38,"111",111,Sicilia,25824319687.6,1462935.95342449
39,39,IT_39,"111",111,Sicilia,25824319687.6,518746.863933026
40,40,IT_40,"111",111,Sicilia,25824319687.6,379049.605176768
41,41,IT_41,"111",111,Sicilia,25824319687.6,444176.967584178
42,42,IT_42,"111",111,Sicilia,25824319687.6,625703.094282513
43,43,IT_43,"111",111,Sicilia,25824319687.6,1092597.52064566
44,44,IT_44,"111",111,Sicilia,25824319687.6,1004783.54127471
45,45,IT_45,"111",111,Sicilia,25824319687.6,290521.759114198
46,46,IT_46,"111",111,Sicilia,25824319687.6,395088.829005729
47,47,IT_47,"111",111,Sicilia,25824319687.6,1051745.85743132
48,48,IT_48,"111",111,Sicilia,25824319687.6,1849021.9400327
49,49,IT_49,"111",111,Sicilia,25824319687.6,1669001.85760872
50,50,IT_50,"111",111,Sicilia,25824319687.6,1030897.37023089
51,51,IT_51,"111",111,Sicilia,25824319687.6,1173207.22529183
52,52,IT_52,"111",111,Sicilia,25824319687.6,963860.59867664
53,53,IT_53,"111",111,Sicilia,25824319687.6,677981.131686971
54,54,IT_54,"111",111,Sicilia,25824319687.6,995464.543110244
55,55,IT_55,"111",111,Sicilia,25824319687.6,853286.366929383
56,56,IT_56,"111",111,Sicilia,25824319687.6,864095.223004416
57,57,IT_57,"111",111,Sicilia,25824319687.6,590762.037691227
58,58,IT_58,"111",111,Sicilia,25824319687.6,526811.51436099
59,59,IT_59,"111",111,Sicilia,25824319687.6,2231942.76875433
60,60,IT_60,"111",111,Sicilia,25824319687.6,1607468.20740619
61,61,IT_61,"111",111,Sicilia,25824319687.6,409215.317989522
62,62,IT_62,"111",111,Sicilia,25824319687.6,900283.726064084
63,63,IT_63,"111",111,Sicilia,25824319687.6,313755.252145724
64,64,IT_64,"111",111,Sicilia,25824319687.6,932842.199578542
65,65,IT_65,"111",111,Sicilia,25824319687.6,278981.760896869
66,66,IT_66,"111",111,Sicilia,25824319687.6,1186743.57384864
67,67,IT_67,"111",111,Sicilia,25824319687.6,369004.996826265
68,68,IT_68,"111",111,Sicilia,25824319687.6,674064.032545824
69,69,IT_69,"111",111,Sicilia,25824319687.6,1187961.07238026
70,70,IT_70,"111",111,Sicilia,25824319687.6,2273507.42727815
71,71,IT_71,"111",111,Sicilia,25824319687.6,503131.601399047
72,72,IT_72,"111",111,Sicilia,25824319687.6,890999.008082993
73,73,IT_73,"111",111,Sicilia,25824319687.6,740117.232827118
74,74,IT_74,"111",111,Sicilia,25824319687.6,2020634.53563788
75,75,IT_75,"111",111,Sicilia,25824319687.6,1541282.52723082
76,76,IT_76,"111",111,Sicilia,25824319687.6,380119.31757489
77,77,IT_77,"111",111,Sicilia,25824319687.6,321243.160320252
78,78,IT_78,"111",111,Sicilia,25824319687.6,902803.375449677
79,79,IT_79,"111",111,Sicilia,25824319687.6,891995.728338099
80,80,IT_80,"111",111,Sicilia,25824319687.6,1675226.65513385
81,81,IT_81,"111",111,Sicilia,25824319687.6,303715.968381282
82,82,IT_82,"111",111,Sicilia,25824319687.6,553385.515401885
83,83,IT_83,"111",111,Sicilia,25824319687.6,634629.82807396
84,84,IT_84,"111",111,Sicilia,25824319687.6,2633428.8177304
85,85,IT_85,"111",111,Sicilia,25824319687.6,651267.449877512
86,86,IT_86,"111",111,Sicilia,25824319687.6,338588.447127052
87,87,IT_87,"111",111,Sicilia,25824319687.6,700315.883706583
88,88,IT_88,"111",111,Sicilia,25824319687.6,1040831.82228339
89,89,IT_89,"111",111,Sicilia,25824319687.6,750410.755748422
90,90,IT_90,"111",111,Sicilia,25824319687.6,659116.806072569
91,91,IT_91,"111",111,Sicilia,25824319687.6,275995.882125631
92,92,IT_92,"111",111,Sicilia,25824319687.6,406110.334889808
93,93,IT_93,"111",111,Sicilia,25824319687.6,1199086.73129105
94,94,IT_94,"111",111,Sicilia,25824319687.6,1110481.99333743
95,95,IT_95,"111",111,Sicilia,25824319687.6,730696.217172554
96,96,IT_96,"111",111,Sicilia,25824319687.6,1904667.63931452
97,97,IT_97,"111",111,Sicilia,25824319687.6,753548.581350321
98,98,IT_98,"111",111,Sicilia,25824319687.6,303727.422792061
99,99,IT_99,"111",111,Sicilia,25824319687.6,385245.670890763
100,100,IT_100,"111",111,Sicilia,25824319687.6,453685.352309152
101,101,IT_101,"111",111,Sicilia,25824319687.6,499210.083014861
102,102,IT_102,"111",111,Sicilia,25824319687.6,454645.903493565
103,103,IT_103,"111",111,Sicilia,25824319687.6,619630.977615956
104,104,IT_104,"111",111,Sicilia,25824319687.6,686913.180967298
105,105,IT_105,"111",111,Sicilia,25824319687.6,357607.293930579
106,106,IT_106,"111",111,Sicilia,25824319687.6,256032.981844606
107,107,IT_107,"111",111,Sicilia,25824319687.6,1043196.12579415
108,108,IT_108,"111",111,Sicilia,25824319687.6,387569.745211437
109,109,IT_109,"111",111,Sicilia,25824319687.6,343892.142703524
110,110,IT_110,"111",111,Sicilia,25824319687.6,434424.136267979
111,111,IT_111,"111",111,Sicilia,25824319687.6,291566.192287192
112,112,IT_112,"111",111,Sicilia,25824319687.6,266193.791807778
113,113,IT_113,"111",111,Sicilia,25824319687.6,1040153.34526252
